File_name,Paper_title,Reference,Citation,aim at Social Communication skills,aim at Emotional Intelligence skills,aim at Language and Speech skills,aim at Cognitive Skills,aim at Social Cognition skills,aim at Physical and Motor Development skills,aim at Self-Management and Adaptive Skills,studying Children with ASD,studying Adolescents with ASD,studying Adults with ASD,studying Children with other neurodevelopmental disabilities,studying Adolescents with other neurodevelopmental disabilities,studying Adults with other neurodevelopmental disabilities,carry out Social Interaction Activities with robots,carry out Storytelling and Play-based Activities with robots,carry out Imitation and Movement Activities with robots,carry out Emotion and Expression Recognition Activities with robots,Music and Rhythm Activities with robots,carry out Executive Function and Cognitive Activities with robots,carry out Communication and Language Activities with robots
Fortiva-01-Abbasi-2018-In-home-Robots-Improve-social-skills-in-children-with-autism.pdf,Biotech Innovations,Abbasi; J. (2018). Biotech Innovations. JAMA; 320(4); 329-330.,(Abbasi; 2018),Yes; the study aimed at developing or evaluating Social Communication skills. The paper mentions that children with autism showed improvements in social skills; including making more eye contact; initiating social interactions more frequently; and responding appropriately to social requests.,N/A. The study does not explicitly mention developing or evaluating Emotional Intelligence skills.,N/A. The study does not explicitly mention developing or evaluating Language and Speech skills.,N/A. The study does not explicitly mention developing or evaluating Cognitive Skills.,Yes; the study aimed at developing or evaluating Social Cognition skills. The paper mentions that children showed significant improvements in joint attention ability; which is a critical social skill often deficient in autism.,N/A. The study does not explicitly mention developing or evaluating Physical and Motor Development skills.,N/A. The study does not explicitly mention developing or evaluating Self-Management and Adaptive Skills.,Yes; the study aimed at studying children with autism spectrum disorder (ASD). The paper states that the study involved 12 children with autism spectrum disorder between 6 and 12 years old.,N/A. The study focused on children aged 6-12 and did not include adolescents with ASD.,N/A. The study focused on children aged 6-12 and did not include adults with ASD.,N/A. The study specifically focused on children with autism spectrum disorder and did not include children with other neurodevelopmental disabilities.,N/A. The study did not include adolescents with other neurodevelopmental disabilities.,N/A. The study did not include adults with other neurodevelopmental disabilities.,Yes; the study carried out Social Interaction Activities with robots. The paper mentions that children played social skills games with their caregiver and a robot that speaks and exhibits expressive behaviors.,N/A. The study does not explicitly mention carrying out Storytelling and Play-based Activities with robots.,N/A. The study does not explicitly mention carrying out Imitation and Movement Activities with robots.,N/A. The study does not explicitly mention carrying out Emotion and Expression Recognition Activities with robots.,N/A. The study does not explicitly mention carrying out Music and Rhythm Activities with robots.,N/A. The study does not explicitly mention carrying out Executive Function and Cognitive Activities with robots.,N/A. The study does not explicitly mention carrying out Communication and Language Activities with robots.
Fortiva-02-Abdelmohsen-y-Arafa-2021-Training-Social-Skills-of-Children-with-ASD-Throug.pdf,Training Social Skills of Children with ASD Through Social Virtual Robot,Abdelmohsen; M.; & Arafa; Y. (2021). Training Social Skills of Children with ASD Through Social Virtual Robot. [No publication information available],(Abdelmohsen & Arafa; 2021),Yes; the authors aimed at developing and evaluating social communication skills; specifically mentioning social skills training for children with ASD.,Yes; the authors aimed at developing and evaluating emotional intelligence skills; particularly emotion recognition and expression.,N/A. The study does not explicitly mention developing or evaluating language and speech skills.,N/A. The study does not explicitly mention developing or evaluating cognitive skills.,Yes; the authors aimed at developing and evaluating social cognition skills; specifically imitation and gesture recognition.,N/A. The study does not explicitly mention developing or evaluating physical and motor development skills.,N/A. The study does not explicitly mention developing or evaluating self-management and adaptive skills.,Yes; the study aimed at studying children with autism spectrum disorder (ASD); specifically mentioning children aged 4 to 12 years.,N/A. The study does not explicitly mention studying adolescents with ASD.,N/A. The study does not mention studying adults with ASD.,N/A. The study does not mention studying children with other neurodevelopmental disabilities.,N/A. The study does not mention studying adolescents with other neurodevelopmental disabilities.,N/A. The study does not mention studying adults with other neurodevelopmental disabilities.,Yes; the study carried out social interaction activities with a virtual robot; including interactive scenarios for social skills training.,Yes; the study included storytelling activities with the virtual robot; particularly in the emotion recognition training phase.,Yes; the study included imitation activities with the virtual robot; specifically for training imitation skills and gesture production.,Yes; the study included emotion and expression recognition activities with the virtual robot; focusing on recognizing and expressing the six basic emotions.,N/A. The study does not mention using music and rhythm activities with robots.,N/A. The study does not mention using executive function and cognitive activities with robots.,N/A. While the study involves communication; it does not specifically mention the listed communication and language activities with robots.
Fortiva-03-Alarfaj-2016-Analysis-of-the-Use-of-a-NAO-Robot-to-Improve-Soci.pdf.pdf,Analysis of the use of a robot to improve social skills in children with autism spectrum disorder,Valadão; C. T.; Goulart; C.; Rivera; H.; Caldeira; E.; Bastos Filho; T. F.; Frizera-Neto; A.; & Carelli; R. (2016). Analysis of the use of a robot to improve social skills in children with autism spectrum disorder. Research on Biomedical Engineering; 32(2); 161-175. http://dx.doi.org/10.1590/2446-4740.01316,(Valadão et al.; 2016),Yes; the authors aimed to develop and evaluate social skills such as eye gazing; touching the robot; and imitating the mediator in children with ASD.,N/A. The study did not specifically aim to develop or evaluate emotional intelligence skills.,N/A. The study did not specifically aim to develop or evaluate language and speech skills.,N/A. The study did not specifically aim to develop or evaluate cognitive skills.,Yes; the authors aimed to develop and evaluate social cognition skills such as eye contact and imitation in children with ASD.,Yes; the authors aimed to develop and evaluate motor skills such as touching the robot in children with ASD.,N/A. The study did not specifically aim to develop or evaluate self-management and adaptive skills.,Yes; the authors aimed to study children with autism spectrum disorder (ASD).,N/A. The study did not aim to study adolescents with ASD.,N/A. The study did not aim to study adults with ASD.,No; the authors did not aim to study children with other neurodevelopmental disabilities besides ASD.,N/A. The study did not aim to study adolescents with other neurodevelopmental disabilities.,N/A. The study did not aim to study adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with the robot MARIA to improve social skills in children with ASD; such as one-on-one interactions between the child and robot.,N/A. The study did not use storytelling or play-based activities with the robot.,Yes; the authors carried out imitation activities where the children were encouraged to imitate the mediator's movements while interacting with the robot MARIA.,N/A. The study did not use emotion and expression recognition activities with the robot.,N/A. The study did not use music and rhythm activities with the robot.,N/A. The study did not use executive function and cognitive activities with the robot.,N/A. The study did not use communication and language activities with the robot.
Fortiva-04-Alnajjar.-2020-Personalized-Robot-Interventions-for-Autistic-Chil.pdf,Personalized Robot Interventions for Autistic Children: An Automated Methodology for Attention Assessment,Alnajjar; F.; Cappuccio; M.; Renawi; A.; Mubin; O.; & Loo; C. K. (2020). Personalized Robot Interventions for Autistic Children: An Automated Methodology for Attention Assessment. International Journal of Social Robotics; 13; 67-82.,(Alnajjar et al.; 2020),Yes; the authors aimed to improve social interaction and engagement through robot interaction sessions.,N/A. The study did not focus on developing or evaluating emotional intelligence skills.,N/A. The study did not focus on developing or evaluating language and speech skills.; ,Yes; the authors aimed to improve the attention capabilities of ASD patients through robot interaction sessions.,Yes; the study detected joint attention cues to assess the patient's responses synchronized with the robot's actions and requests.,N/A. The study did not focus on developing or evaluating physical and motor development skills.,N/A. The study did not focus on developing or evaluating self-management and adaptive skills.,Yes; the study focused on children with autism spectrum disorder (ASD) of mild to moderate severity.,N/A. The study did not include adolescents with ASD; only children under 16 years old.,N/A. The study did not include adults with ASD; only children under 16 years old.,N/A. The study only included children with ASD; not children with other neurodevelopmental disabilities.,N/A. The study only included children with ASD; not adolescents with other neurodevelopmental disabilities.; ,N/A. The study only included children with ASD; not adults with other neurodevelopmental disabilities.,Yes; the authors carried out one-on-one interactive scenarios with the robot to improve attention and engagement.,N/A. The study did not include storytelling or play-based activities with the robot.,Yes; the study included some imitation and movement activities; such as the robot pointing and the child following.,Yes; the robot displayed emotions on a screen and the system detected the child's facial expressions in response.,Yes; one of the interaction scenarios involved the robot singing 'Happy Birthday' with the child.,N/A. The study did not include specific executive function or cognitive activities with the robot.,Yes; the robot engaged in communication activities and joint attention tasks with the child; such as asking the child to look at a specific object the robot pointed to.
Fortiva-05-Aqel-2020-Development-of-Color-Following-Robot-for-Interacti.pdf,Development of Color Following Robot for Interaction with Autistic Children,Aqel; M. O. A.; AlHalabi; A.; & Jabre; A. (2020). Development of Color Following Robot for Interaction with Autistic Children. Al-Azhar University-Gaza.,(Aqel et al.; 2020),Yes; the authors aimed at developing social communication skills; particularly social interaction; through an interactive robotic toy for autistic children.,N/A. The study does not explicitly mention developing or evaluating emotional intelligence skills.,N/A. The study does not explicitly mention developing or evaluating language and speech skills.,Yes; the authors aimed at developing cognitive skills; specifically the ability to distinguish between colors and understand embedded orders in everyday conversation.,N/A. The study does not explicitly mention developing or evaluating social cognition skills.,N/A. The study does not explicitly mention developing or evaluating physical and motor development skills.,N/A. The study does not explicitly mention developing or evaluating self-management and adaptive skills.,Yes; the study aimed at developing a robotic toy for children with autism spectrum disorder (ASD).,N/A. The study does not explicitly mention targeting adolescents with ASD.,N/A. The study does not explicitly mention targeting adults with ASD.,N/A. The study does not mention targeting children with other neurodevelopmental disabilities.,N/A. The study does not mention targeting adolescents with other neurodevelopmental disabilities.,N/A. The study does not mention targeting adults with other neurodevelopmental disabilities.,Yes; the study involved social interaction activities with a robotic toy; specifically asking the child to show a ball of a certain color and providing feedback.,N/A. The study does not mention storytelling or play-based activities with robots.,N/A. The study does not mention imitation or movement activities with robots.,N/A. The study does not mention emotion and expression recognition activities with robots.,N/A. The study does not mention music and rhythm activities with robots.,N/A. The study does not mention executive function and cognitive activities with robots as described.,Yes; the study involved communication activities with a robot; specifically asking the child to show a ball of a certain color and providing verbal feedback.
Fortiva-06-Attawibulkul-2019-Using-a-Daily-Routine-Game-on-the-BLISS-Robot-for.pdf,Using a Daily Routine Game on the BLISS Robot for Supporting Personal-Social Development in Children with Autism and Other Special Needs,Attawibulkul; S.; Asawalertsak; N.; Suwawong; P.; Wattanapongsakul; P.; Jutharee; W.; & Kaewkamnerdpong; B. (2019). Using a Daily Routine Game on the BLISS Robot for Supporting Personal-Social Development in Children with Autism and Other Special Needs. Proceedings of the 2019 International Conference on Robotics and Automation (ICRA). IEEE.,(Attawibulkul et al.; 2019),Yes; the authors aimed to support personal-social development in children with autism and other special needs.,N/A. The study did not specifically focus on developing or evaluating emotional intelligence skills.,Yes; the authors aimed to support language development in children with autism and other special needs.,N/A. The study did not specifically focus on developing or evaluating cognitive skills.,N/A. The study did not specifically focus on developing or evaluating social cognition skills.,N/A. The study did not specifically focus on developing or evaluating physical and motor development skills.,Yes; the authors aimed to help children learn to perform daily routine activities by themselves; which can be considered self-management and adaptive skills.,Yes; the study included children with autism spectrum disorder (ASD).,N/A. The study did not include adolescents with ASD.,N/A. The study did not include adults with ASD.,Yes; the study included children with other special needs (not only ASD).,N/A. The study did not include adolescents with other neurodevelopmental disabilities.,N/A. The study did not include adults with other neurodevelopmental disabilities.,Yes; the authors used a daily routine game on the BLISS robot; where children interacted with the robot to complete tasks related to daily routines.,N/A. The study did not use storytelling or play-based activities with robots.,N/A. The study did not use imitation or movement activities with robots.,N/A. The study did not use emotion or expression recognition activities with robots.,N/A. The study did not use music or rhythm activities with robots.,N/A. The study did not use executive function or cognitive activities with robots.,Yes; the authors used a daily routine game on the BLISS robot; where children communicated with the robot using an interactive screen and RFID cards to complete daily routine tasks.
Fortiva-07-Bharatharaj-2017-Robot-Assisted-Therapy-for-Learning-and-Social-Int.pdf,Robot-Assisted Therapy for Learning and Social Interaction of Children with Autism Spectrum Disorder,Bharatharaj; J.; Huang; L.; Mohan; R. E.; Al-Jumaily; A.; & Krägeloh; C. (2017). Robot-Assisted Therapy for Learning and Social Interaction of Children with Autism Spectrum Disorder. Robotics; 6(1); 4.,(Bharatharaj et al.; 2017),Yes; the authors aimed at developing and evaluating social communication skills; particularly social interaction abilities of children with autism spectrum disorder.,Yes; the authors aimed at evaluating emotional intelligence skills; specifically by analyzing facial expressions of children when they interacted with the robot using an automated emotion recognition system.,Yes; the authors aimed at developing language skills; particularly in teaching alphabets and numbers to children with autism spectrum disorder using the robot.,Yes; the authors aimed at developing cognitive skills; specifically learning abilities of children with autism spectrum disorder.,Yes; the authors aimed at developing social cognition skills; particularly in recognizing and identifying individuals and relationships.,N/A. The study did not explicitly aim at developing or evaluating physical and motor development skills.,N/A. The study did not explicitly aim at developing or evaluating self-management and adaptive skills.,Yes; the authors aimed at studying children with autism spectrum disorder (ASD).,N/A. The study did not explicitly aim at studying adolescents with ASD. The participants were aged between 6 and 16 years; which may include some adolescents; but this was not a specific focus of the study.,N/A. The study did not aim at studying adults with ASD.,N/A. The study did not aim at studying children with other neurodevelopmental disabilities (not ASD).,N/A. The study did not aim at studying adolescents with other neurodevelopmental disabilities (not ASD).,N/A. The study did not aim at studying adults with other neurodevelopmental disabilities (not ASD).,Yes; the authors carried out social interaction activities with robots; including interactive scenarios and one-on-one interactions between the children and the robot.,N/A. The study did not explicitly mention carrying out storytelling and play-based activities with robots.,N/A. While the robot demonstrated movement abilities; the study did not explicitly mention carrying out imitation and movement activities with the children.,N/A. While the study analyzed children's facial expressions; it did not explicitly mention carrying out emotion and expression recognition activities with the robot.,N/A. The study did not mention carrying out music and rhythm activities with robots.,Yes; the authors carried out cognitive activities with robots; specifically teaching and learning activities involving alphabets; numbers; and recognizing individuals.,Yes; the authors carried out communication and language activities with robots; including teaching alphabets and numbers; and engaging in two-way communication between the robot and the children.
Fortiva-08-Bharatharaj-2016-Effects-of-Adapted-Model-Rival-Method-and-parrot-i.pdf,Effects of Adapted Model-Rival Method and Parrot-Inspired Robot in improving Learning and Social Interaction among Children with Autism,Bharatharaj; J.; Huang; L.; Al-Jumaily; A.; Krageloh; C.; & Elara; M. R. (2016). Effects of Adapted Model-Rival Method and Parrot-Inspired Robot in improving Learning and Social Interaction among Children with Autism. In Proceedings of the International Conference on Information; Communications; and Signal Processing (ICICS).,(Bharatharaj et al.; 2016),Yes; the authors aimed at developing and evaluating social communication skills; specifically social interaction abilities of children with autism.,N/A. The study does not explicitly mention aiming to develop or evaluate emotional intelligence skills.,Yes; the authors aimed at developing and evaluating language skills; specifically teaching English alphabets and Arabic numerals.,Yes; the authors aimed at developing and evaluating cognitive skills; specifically learning abilities of children with autism.,N/A. The study does not explicitly mention aiming to develop or evaluate social cognition skills.,N/A. The study does not explicitly mention aiming to develop or evaluate physical and motor development skills.,N/A. The study does not explicitly mention aiming to develop or evaluate self-management and adaptive skills.,Yes; the study aimed at studying children with autism spectrum disorder (ASD).,N/A. The study does not mention aiming to study adolescents with ASD.,N/A. The study does not mention aiming to study adults with ASD.,N/A. The study does not mention aiming to study children with other neurodevelopmental disabilities (not ASD).,N/A. The study does not mention aiming to study adolescents with other neurodevelopmental disabilities (not ASD).,N/A. The study does not mention aiming to study adults with other neurodevelopmental disabilities (not ASD).,Yes; the authors carried out social interaction activities with robots; specifically one-on-one interactions between children with autism and the parrot-inspired robot KiliRo.,N/A. The study does not mention carrying out storytelling and play-based activities with robots.,N/A. The study does not mention carrying out imitation and movement activities with robots.,N/A. The study does not mention carrying out emotion and expression recognition activities with robots.,N/A. The study does not mention carrying out music and rhythm activities with robots.,N/A. The study does not mention carrying out executive function and cognitive activities with robots as described in the question.,Yes; the authors carried out communication and language activities with robots; specifically teaching English alphabets and Arabic numerals using the parrot-inspired robot KiliRo.
Fortiva-09-Bharatharaj-2018-Social-engagement-of-children-with-autism-spectrum.pdf,Social engagement of children with autism spectrum disorder in interaction with a parrot-inspired therapeutic robot,Bharatharaj; J.; Huang; L.; Krägeloh; C.; Elara; M. R.; & Al-Jumaily; A. (2018). Social engagement of children with autism spectrum disorder in interaction with a parrot-inspired therapeutic robot. Procedia Computer Science; 133; 368-376.,(Bharatharaj et al.; 2018),Yes; the authors aimed at evaluating social communication skills; specifically social engagement behaviors in children with autism spectrum disorder.,N/A. The study did not explicitly aim at developing or evaluating emotional intelligence skills.,N/A. The study did not explicitly aim at developing or evaluating language and speech skills.,N/A. The study did not explicitly aim at developing or evaluating cognitive skills.,N/A. While some of the behaviors observed could be related to social cognition; the study did not explicitly aim at developing or evaluating these skills.,N/A. The study did not explicitly aim at developing or evaluating physical and motor development skills.,N/A. The study did not explicitly aim at developing or evaluating self-management and adaptive skills.,Yes; the study aimed at studying children with autism spectrum disorder (ASD).,N/A. The study focused on children aged 7-11 years and did not include adolescents.,N/A. The study did not aim at studying adults with ASD.,N/A. The study focused specifically on children with ASD and did not include children with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adolescents with other neurodevelopmental disabilities.,N/A. The study did not aim at studying adults with other neurodevelopmental disabilities.,Yes; the authors carried out social interaction activities with the parrot-inspired robot KiliRo to improve social engagement in children with ASD.,N/A. The study did not involve storytelling or play-based activities with robots.,N/A. While the robot performed some movements; the study did not explicitly focus on imitation and movement activities.,N/A. The study did not involve emotion and expression recognition activities with robots.,Yes; the authors carried out music activities with the robot in the third session; where songs were played and the robot moved its wings and head.,N/A. The study did not involve executive function and cognitive activities with robots.,N/A. While some communication behaviors were observed; the study did not explicitly carry out communication and language activities with robots.
Fortiva-10-Binotte-et-al.-2017-Control-Strategies-for-a-Robot-for-Interaction-wit.pdf.pdf,Control Strategies for a Robot for Interaction with Children with Autism Spectrum Disorder,Binotte; V.; Baldo; G.; Goulart; C.; Valadão; C.; Caldeira; E.; & Bastos; T. (2017). Control Strategies for a Robot for Interaction with Children with Autism Spectrum Disorder.,(Binotte et al.; 2017),Yes; the authors aimed at developing a robot for interaction with children with ASD to stimulate social abilities such as eye gaze; physical contact (touches); imitation and engagement with other humans.,N/A. The paper does not explicitly mention developing or evaluating Emotional Intelligence skills.,N/A. The paper does not explicitly mention developing or evaluating Language and Speech skills.,N/A. The paper does not explicitly mention developing or evaluating Cognitive Skills.,Yes; the authors aimed at developing a robot to stimulate imitation skills in children with ASD.,N/A. The paper does not explicitly mention developing or evaluating Physical and Motor Development skills.,N/A. The paper does not explicitly mention developing or evaluating Self-Management and Adaptive Skills.,Yes; the study aimed at developing a robot for interaction with children with autism spectrum disorder (ASD).,N/A. The study focused on children with ASD and did not mention adolescents.,N/A. The study focused on children with ASD and did not mention adults.,N/A. The study focused specifically on children with ASD and did not mention other neurodevelopmental disabilities.,N/A. The study focused on children with ASD and did not mention adolescents with other neurodevelopmental disabilities.,N/A. The study focused on children with ASD and did not mention adults with other neurodevelopmental disabilities.,Yes; the authors developed a robot for social interaction activities with children with ASD; including one-on-one interactions.,N/A. The paper does not mention storytelling or play-based activities with robots.,Yes; the authors mention that the robot was designed to stimulate imitation skills in children with ASD.,N/A. The paper does not explicitly mention emotion and expression recognition activities with robots.,N/A. The paper does not mention music and rhythm activities with robots.,N/A. The paper does not mention executive function and cognitive activities with robots.,N/A. While the robot was designed for interaction; the paper does not explicitly describe communication and language activities.
